,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"15    M. Woodson (30-52)
Name: Coaches, dtype: object","15    30
Name: W, dtype: int64-15    52
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"15    L. Frank (41-41)
Name: Coaches, dtype: object","15    41
Name: W, dtype: int64-15    41
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"15    D. Rivers (24-58)
Name: Coaches, dtype: object","15    24
Name: W, dtype: int64-15    58
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"15    B. Bickerstaff (33-49)
Name: Coaches, dtype: object","15    33
Name: W, dtype: int64-15    49
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"15    S. Skiles (49-33)
Name: Coaches, dtype: object","15    49
Name: W, dtype: int64-15    33
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"15    M. Brown (50-32)
Name: Coaches, dtype: object","15    50
Name: W, dtype: int64-15    32
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"15    A. Johnson (67-15)
Name: Coaches, dtype: object","15    67
Name: W, dtype: int64-15    15
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"15    G. Karl (45-37)
Name: Coaches, dtype: object","15    45
Name: W, dtype: int64-15    37
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"15    F. Saunders (53-29)
Name: Coaches, dtype: object","15    53
Name: W, dtype: int64-15    29
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"15    D. Nelson (42-40)
Name: Coaches, dtype: object","15    42
Name: W, dtype: int64-15    40
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"15    J. Van Gundy (52-30)
Name: Coaches, dtype: object","15    52
Name: W, dtype: int64-15    30
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"15    R. Carlisle (35-47)
Name: Coaches, dtype: object","15    35
Name: W, dtype: int64-15    47
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"15    M. Dunleavy (40-42)
Name: Coaches, dtype: object","15    40
Name: W, dtype: int64-15    42
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"15    P. Jackson (42-40)
Name: Coaches, dtype: object","15    42
Name: W, dtype: int64-15    40
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"15    M. Fratello (6-24), T. Barone (16-36)
Name: Coaches, dtype: object","15    22
Name: W, dtype: int64-15    60
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"15    P. Riley (44-38)
Name: Coaches, dtype: object","15    44
Name: W, dtype: int64-15    38
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"15    T. Stotts (23-41), L. Krystkowiak (5-13)
Name: Coaches, dtype: object","15    28
Name: W, dtype: int64-15    54
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"15    D. Casey (20-20), R. Wittman (12-30)
Name: Coaches, dtype: object","15    32
Name: W, dtype: int64-15    50
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"15    B. Scott (39-43)
Name: Coaches, dtype: object","15    39
Name: W, dtype: int64-15    43
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"15    I. Thomas (33-49)
Name: Coaches, dtype: object","15    33
Name: W, dtype: int64-15    49
Name: L, dtype: int64","New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"15    B. Hill (31-51)
Name: Coaches, dtype: object","15    31
Name: W, dtype: int64-15    51
Name: L, dtype: int64","Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,"15    B. Hill (40-42)
Name: Coaches, dtype: object","15    40
Name: W, dtype: int64-15    42
Name: L, dtype: int64","Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"15    M. Cheeks (35-47)
Name: Coaches, dtype: object","15    35
Name: W, dtype: int64-15    47
Name: L, dtype: int64","Philadelphia, Pennsylvania",51,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,"15    M. D'Antoni (61-21)
Name: Coaches, dtype: object","15    61
Name: W, dtype: int64-15    21
Name: L, dtype: int64","Phoenix, Arizona",30,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,"15    N. McMillan (32-50)
Name: Coaches, dtype: object","15    32
Name: W, dtype: int64-15    50
Name: L, dtype: int64","Portland, Oregon",37,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,"15    E. Musselman (33-49)
Name: Coaches, dtype: object","15    33
Name: W, dtype: int64-15    49
Name: L, dtype: int64","Sacramento, California",29,1
