,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"9    L. Drew (44-38)
Name: Coaches, dtype: object","9    44
Name: W, dtype: int64-9    38
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"9    A. Johnson (14-14), P. Carlesimo (35-19)
Name: Coaches, dtype: object","9    49
Name: W, dtype: int64-9    33
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"9    D. Rivers (41-40)
Name: Coaches, dtype: object","9    41
Name: W, dtype: int64-9    40
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"9    M. Dunlap (21-61)
Name: Coaches, dtype: object","9    21
Name: W, dtype: int64-9    61
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"9    T. Thibodeau (45-37)
Name: Coaches, dtype: object","9    45
Name: W, dtype: int64-9    37
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"9    B. Scott (24-58)
Name: Coaches, dtype: object","9    24
Name: W, dtype: int64-9    58
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"9    R. Carlisle (41-41)
Name: Coaches, dtype: object","9    41
Name: W, dtype: int64-9    41
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"9    G. Karl (57-25)
Name: Coaches, dtype: object","9    57
Name: W, dtype: int64-9    25
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"9    L. Frank (29-53)
Name: Coaches, dtype: object","9    29
Name: W, dtype: int64-9    53
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"9    M. Jackson (47-35)
Name: Coaches, dtype: object","9    47
Name: W, dtype: int64-9    35
Name: L, dtype: int64","San Francisco, California",35,6
