,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"18    T. Stotts (28-54)
Name: Coaches, dtype: object","18    28
Name: W, dtype: int64-18    54
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"18    B. Scott (22-20), L. Frank (25-15)
Name: Coaches, dtype: object","18    47
Name: W, dtype: int64-18    35
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"18    J. O'Brien (22-24), J. Carroll (14-22)
Name: Coaches, dtype: object","18    36
Name: W, dtype: int64-18    46
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"Series([], Name: Coaches, dtype: object)","Series([], Name: W, dtype: int64)-Series([], Name: L, dtype: int64)","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"18    B. Cartwright (4-10), P. Myers (0-2), S. Skile...
Name: Coaches, dtype: object","18    23
Name: W, dtype: int64-18    59
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"18    P. Silas (35-47)
Name: Coaches, dtype: object","18    35
Name: W, dtype: int64-18    47
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"18    D. Nelson (52-30)
Name: Coaches, dtype: object","18    52
Name: W, dtype: int64-18    30
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"18    J. Bzdelik (43-39)
Name: Coaches, dtype: object","18    43
Name: W, dtype: int64-18    39
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"18    L. Brown (54-28)
Name: Coaches, dtype: object","18    54
Name: W, dtype: int64-18    28
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"18    E. Musselman (37-45)
Name: Coaches, dtype: object","18    37
Name: W, dtype: int64-18    45
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"18    J. Van Gundy (45-37)
Name: Coaches, dtype: object","18    45
Name: W, dtype: int64-18    37
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"18    R. Carlisle (61-21)
Name: Coaches, dtype: object","18    61
Name: W, dtype: int64-18    21
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"18    M. Dunleavy (28-54)
Name: Coaches, dtype: object","18    28
Name: W, dtype: int64-18    54
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"18    P. Jackson (56-26)
Name: Coaches, dtype: object","18    56
Name: W, dtype: int64-18    26
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"18    H. Brown (50-32)
Name: Coaches, dtype: object","18    50
Name: W, dtype: int64-18    32
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"18    S. Van Gundy (42-40)
Name: Coaches, dtype: object","18    42
Name: W, dtype: int64-18    40
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"18    T. Porter (41-41)
Name: Coaches, dtype: object","18    41
Name: W, dtype: int64-18    41
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"18    F. Saunders (58-24)
Name: Coaches, dtype: object","18    58
Name: W, dtype: int64-18    24
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"18    T. Floyd (41-41)
Name: Coaches, dtype: object","18    41
Name: W, dtype: int64-18    41
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"18    D. Chaney (15-24), H. Williams (1-0), L. Wilke...
Name: Coaches, dtype: object","18    39
Name: W, dtype: int64-18    43
Name: L, dtype: int64","New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"18    N. McMillan (37-45)
Name: Coaches, dtype: object","18    37
Name: W, dtype: int64-18    45
Name: L, dtype: int64","Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,"18    D. Rivers (1-10), J. Davis (20-51)
Name: Coaches, dtype: object","18    21
Name: W, dtype: int64-18    61
Name: L, dtype: int64","Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"18    R. Ayers (21-31), C. Ford (12-18)
Name: Coaches, dtype: object","18    33
Name: W, dtype: int64-18    49
Name: L, dtype: int64","Philadelphia, Pennsylvania",51,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,"18    F. Johnson (8-13), M. D'Antoni (21-40)
Name: Coaches, dtype: object","18    29
Name: W, dtype: int64-18    53
Name: L, dtype: int64","Phoenix, Arizona",30,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,"18    M. Cheeks (41-41)
Name: Coaches, dtype: object","18    41
Name: W, dtype: int64-18    41
Name: L, dtype: int64","Portland, Oregon",37,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,"18    R. Adelman (55-27)
Name: Coaches, dtype: object","18    55
Name: W, dtype: int64-18    27
Name: L, dtype: int64","Sacramento, California",29,1
27,SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,"18    G. Popovich (57-25)
Name: Coaches, dtype: object","18    57
Name: W, dtype: int64-18    25
Name: L, dtype: int64","San Antonio, Texas","47
  
    (39 NBA & 8 ABA)",5
28,TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,"18    K. O'Neill (33-49)
Name: Coaches, dtype: object","18    33
Name: W, dtype: int64-18    49
Name: L, dtype: int64","Toronto, Canada",12,1
29,UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,"18    J. Sloan (42-40)
Name: Coaches, dtype: object","18    42
Name: W, dtype: int64-18    40
Name: L, dtype: int64","Salt Lake City, Utah",30,0
30,WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,"18    E. Jordan (25-57)
Name: Coaches, dtype: object","18    25
Name: W, dtype: int64-18    57
Name: L, dtype: int64","Washington, District of Columbia",30,1
