,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"5    M. Budenholzer (43-39)
Name: Coaches, dtype: object","5    43
Name: W, dtype: int64-5    39
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"5    K. Atkinson (20-62)
Name: Coaches, dtype: object","5    20
Name: W, dtype: int64-5    62
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"5    B. Stevens (53-29)
Name: Coaches, dtype: object","5    53
Name: W, dtype: int64-5    29
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"5    S. Clifford (36-46)
Name: Coaches, dtype: object","5    36
Name: W, dtype: int64-5    46
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"5    F. Hoiberg (41-41)
Name: Coaches, dtype: object","5    41
Name: W, dtype: int64-5    41
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"5    T. Lue (51-31)
Name: Coaches, dtype: object","5    51
Name: W, dtype: int64-5    31
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"5    R. Carlisle (33-49)
Name: Coaches, dtype: object","5    33
Name: W, dtype: int64-5    49
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"5    M. Malone (40-42)
Name: Coaches, dtype: object","5    40
Name: W, dtype: int64-5    42
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"5    S. Van Gundy (37-45)
Name: Coaches, dtype: object","5    37
Name: W, dtype: int64-5    45
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"5    S. Kerr (67-15)
Name: Coaches, dtype: object","5    67
Name: W, dtype: int64-5    15
Name: L, dtype: int64","San Francisco, California",35,6
