,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"10    L. Drew (40-26)
Name: Coaches, dtype: object","10    40
Name: W, dtype: int64-10    26
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"10    A. Johnson (22-44)
Name: Coaches, dtype: object","10    22
Name: W, dtype: int64-10    44
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"10    D. Rivers (39-27)
Name: Coaches, dtype: object","10    39
Name: W, dtype: int64-10    27
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"10    P. Silas (7-59)
Name: Coaches, dtype: object","10    7
Name: W, dtype: int64-10    59
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"10    T. Thibodeau (50-16)
Name: Coaches, dtype: object","10    50
Name: W, dtype: int64-10    16
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"10    B. Scott (21-45)
Name: Coaches, dtype: object","10    21
Name: W, dtype: int64-10    45
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"10    R. Carlisle (36-30)
Name: Coaches, dtype: object","10    36
Name: W, dtype: int64-10    30
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"10    G. Karl (38-28)
Name: Coaches, dtype: object","10    38
Name: W, dtype: int64-10    28
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"10    L. Frank (25-41)
Name: Coaches, dtype: object","10    25
Name: W, dtype: int64-10    41
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"10    M. Jackson (23-43)
Name: Coaches, dtype: object","10    23
Name: W, dtype: int64-10    43
Name: L, dtype: int64","San Francisco, California",35,6
