,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"2    L. Pierce (20-47)
Name: Coaches, dtype: object","2    20
Name: W, dtype: int64-2    47
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"2    K. Atkinson (28-34), J. Vaughn (7-3)
Name: Coaches, dtype: object","2    35
Name: W, dtype: int64-2    37
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"2    B. Stevens (48-24)
Name: Coaches, dtype: object","2    48
Name: W, dtype: int64-2    24
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"2    J. Borrego (23-42)
Name: Coaches, dtype: object","2    23
Name: W, dtype: int64-2    42
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"2    J. Boylen (22-43)
Name: Coaches, dtype: object","2    22
Name: W, dtype: int64-2    43
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"2    J. Beilein (14-40), J. Bickerstaff (5-6)
Name: Coaches, dtype: object","2    19
Name: W, dtype: int64-2    46
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"2    R. Carlisle (43-32)
Name: Coaches, dtype: object","2    43
Name: W, dtype: int64-2    32
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"2    M. Malone (46-27)
Name: Coaches, dtype: object","2    46
Name: W, dtype: int64-2    27
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"2    D. Casey (20-46)
Name: Coaches, dtype: object","2    20
Name: W, dtype: int64-2    46
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"2    S. Kerr (15-50)
Name: Coaches, dtype: object","2    15
Name: W, dtype: int64-2    50
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"2    M. D'Antoni (44-28)
Name: Coaches, dtype: object","2    44
Name: W, dtype: int64-2    28
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"2    N. McMillan (45-28)
Name: Coaches, dtype: object","2    45
Name: W, dtype: int64-2    28
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"2    D. Rivers (49-23)
Name: Coaches, dtype: object","2    49
Name: W, dtype: int64-2    23
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"2    F. Vogel (52-19)
Name: Coaches, dtype: object","2    52
Name: W, dtype: int64-2    19
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"2    T. Jenkins (34-39)
Name: Coaches, dtype: object","2    34
Name: W, dtype: int64-2    39
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"2    E. Spoelstra (44-29)
Name: Coaches, dtype: object","2    44
Name: W, dtype: int64-2    29
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"2    M. Budenholzer (56-17)
Name: Coaches, dtype: object","2    56
Name: W, dtype: int64-2    17
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"2    R. Saunders (19-45)
Name: Coaches, dtype: object","2    19
Name: W, dtype: int64-2    45
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"2    A. Gentry (30-42)
Name: Coaches, dtype: object","2    30
Name: W, dtype: int64-2    42
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"2    D. Fizdale (4-18), M. Miller (17-27)
Name: Coaches, dtype: object","2    21
Name: W, dtype: int64-2    45
Name: L, dtype: int64","New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"2    B. Donovan (44-28)
Name: Coaches, dtype: object","2    44
Name: W, dtype: int64-2    28
Name: L, dtype: int64","Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,"2    S. Clifford (33-40)
Name: Coaches, dtype: object","2    33
Name: W, dtype: int64-2    40
Name: L, dtype: int64","Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"2    B. Brown (43-30)
Name: Coaches, dtype: object","2    43
Name: W, dtype: int64-2    30
Name: L, dtype: int64","Philadelphia, Pennsylvania",51,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,"2    M. Williams (34-39)
Name: Coaches, dtype: object","2    34
Name: W, dtype: int64-2    39
Name: L, dtype: int64","Phoenix, Arizona",30,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,"2    T. Stotts (35-39)
Name: Coaches, dtype: object","2    35
Name: W, dtype: int64-2    39
Name: L, dtype: int64","Portland, Oregon",37,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,"2    L. Walton (31-41)
Name: Coaches, dtype: object","2    31
Name: W, dtype: int64-2    41
Name: L, dtype: int64","Sacramento, California",29,1
27,SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,"2    G. Popovich (32-39)
Name: Coaches, dtype: object","2    32
Name: W, dtype: int64-2    39
Name: L, dtype: int64","San Antonio, Texas","47
  
    (39 NBA & 8 ABA)",5
28,TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,"2    N. Nurse (53-19)
Name: Coaches, dtype: object","2    53
Name: W, dtype: int64-2    19
Name: L, dtype: int64","Toronto, Canada",12,1
29,UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,"2    Q. Snyder (44-28)
Name: Coaches, dtype: object","2    44
Name: W, dtype: int64-2    28
Name: L, dtype: int64","Salt Lake City, Utah",30,0
30,WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,"2    S. Brooks (25-47)
Name: Coaches, dtype: object","2    25
Name: W, dtype: int64-2    47
Name: L, dtype: int64","Washington, District of Columbia",30,1
