,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"13    M. Woodson (47-35)
Name: Coaches, dtype: object","13    47
Name: W, dtype: int64-13    35
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"13    L. Frank (34-48)
Name: Coaches, dtype: object","13    34
Name: W, dtype: int64-13    48
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"13    D. Rivers (62-20)
Name: Coaches, dtype: object","13    62
Name: W, dtype: int64-13    20
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"13    L. Brown (35-47)
Name: Coaches, dtype: object","13    35
Name: W, dtype: int64-13    47
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"13    V. Del Negro (41-41)
Name: Coaches, dtype: object","13    41
Name: W, dtype: int64-13    41
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"13    M. Brown (66-16)
Name: Coaches, dtype: object","13    66
Name: W, dtype: int64-13    16
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"13    R. Carlisle (50-32)
Name: Coaches, dtype: object","13    50
Name: W, dtype: int64-13    32
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"13    G. Karl (54-28)
Name: Coaches, dtype: object","13    54
Name: W, dtype: int64-13    28
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"13    M. Curry (39-43)
Name: Coaches, dtype: object","13    39
Name: W, dtype: int64-13    43
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"13    D. Nelson (29-53)
Name: Coaches, dtype: object","13    29
Name: W, dtype: int64-13    53
Name: L, dtype: int64","San Francisco, California",35,6
