,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"17    M. Woodson (13-69)
Name: Coaches, dtype: object","17    13
Name: W, dtype: int64-17    69
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"17    L. Frank (42-40)
Name: Coaches, dtype: object","17    42
Name: W, dtype: int64-17    40
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"17    D. Rivers (45-37)
Name: Coaches, dtype: object","17    45
Name: W, dtype: int64-17    37
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"17    B. Bickerstaff (18-64)
Name: Coaches, dtype: object","17    18
Name: W, dtype: int64-17    64
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"17    S. Skiles (47-35)
Name: Coaches, dtype: object","17    47
Name: W, dtype: int64-17    35
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"17    P. Silas (34-30), B. Malone (8-10)
Name: Coaches, dtype: object","17    42
Name: W, dtype: int64-17    40
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"17    D. Nelson (42-22), A. Johnson (16-2)
Name: Coaches, dtype: object","17    58
Name: W, dtype: int64-17    24
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"17    J. Bzdelik (13-15), M. Cooper (4-10), G. Karl ...
Name: Coaches, dtype: object","17    49
Name: W, dtype: int64-17    33
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"17    L. Brown (54-28)
Name: Coaches, dtype: object","17    54
Name: W, dtype: int64-17    28
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"17    M. Montgomery (34-48)
Name: Coaches, dtype: object","17    34
Name: W, dtype: int64-17    48
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"17    J. Van Gundy (51-31)
Name: Coaches, dtype: object","17    51
Name: W, dtype: int64-17    31
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"17    R. Carlisle (44-38)
Name: Coaches, dtype: object","17    44
Name: W, dtype: int64-17    38
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"17    M. Dunleavy (37-45)
Name: Coaches, dtype: object","17    37
Name: W, dtype: int64-17    45
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"17    R. Tomjanovich (24-19), F. Hamblen (10-29)
Name: Coaches, dtype: object","17    34
Name: W, dtype: int64-17    48
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"17    H. Brown (5-7), L. Hollins (0-4), M. Fratello ...
Name: Coaches, dtype: object","17    45
Name: W, dtype: int64-17    37
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"17    S. Van Gundy (59-23)
Name: Coaches, dtype: object","17    59
Name: W, dtype: int64-17    23
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"17    T. Porter (30-52)
Name: Coaches, dtype: object","17    30
Name: W, dtype: int64-17    52
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"17    F. Saunders (25-26), K. McHale (19-12)
Name: Coaches, dtype: object","17    44
Name: W, dtype: int64-17    38
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"17    B. Scott (18-64)
Name: Coaches, dtype: object","17    18
Name: W, dtype: int64-17    64
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"17    L. Wilkens (17-22), H. Williams (16-27)
Name: Coaches, dtype: object","17    33
Name: W, dtype: int64-17    49
Name: L, dtype: int64","New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"17    N. McMillan (52-30)
Name: Coaches, dtype: object","17    52
Name: W, dtype: int64-17    30
Name: L, dtype: int64","Oklahoma City, Oklahoma",32,1
