,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"1    L. Pierce (14-20), N. McMillan (27-11)
Name: Coaches, dtype: object","1    41
Name: W, dtype: int64-1    31
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"1    S. Nash (48-24)
Name: Coaches, dtype: object","1    48
Name: W, dtype: int64-1    24
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"1    B. Stevens (36-36)
Name: Coaches, dtype: object","1    36
Name: W, dtype: int64-1    36
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"1    J. Borrego (33-39)
Name: Coaches, dtype: object","1    33
Name: W, dtype: int64-1    39
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"1    B. Donovan (31-41)
Name: Coaches, dtype: object","1    31
Name: W, dtype: int64-1    41
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"1    J. Bickerstaff (22-50)
Name: Coaches, dtype: object","1    22
Name: W, dtype: int64-1    50
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"1    R. Carlisle (42-30)
Name: Coaches, dtype: object","1    42
Name: W, dtype: int64-1    30
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"1    M. Malone (47-25)
Name: Coaches, dtype: object","1    47
Name: W, dtype: int64-1    25
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"1    D. Casey (20-52)
Name: Coaches, dtype: object","1    20
Name: W, dtype: int64-1    52
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"1    S. Kerr (39-33)
Name: Coaches, dtype: object","1    39
Name: W, dtype: int64-1    33
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"1    S. Silas (17-55)
Name: Coaches, dtype: object","1    17
Name: W, dtype: int64-1    55
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"1    N. Bjorkgren (34-38)
Name: Coaches, dtype: object","1    34
Name: W, dtype: int64-1    38
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"1    T. Lue (47-25)
Name: Coaches, dtype: object","1    47
Name: W, dtype: int64-1    25
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"1    F. Vogel (42-30)
Name: Coaches, dtype: object","1    42
Name: W, dtype: int64-1    30
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"1    T. Jenkins (38-34)
Name: Coaches, dtype: object","1    38
Name: W, dtype: int64-1    34
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"1    E. Spoelstra (40-32)
Name: Coaches, dtype: object","1    40
Name: W, dtype: int64-1    32
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"1    M. Budenholzer (46-26)
Name: Coaches, dtype: object","1    46
Name: W, dtype: int64-1    26
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"1    R. Saunders (7-24), C. Finch (16-25)
Name: Coaches, dtype: object","1    23
Name: W, dtype: int64-1    49
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"1    S. Van Gundy (31-41)
Name: Coaches, dtype: object","1    31
Name: W, dtype: int64-1    41
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"1    T. Thibodeau (41-31)
Name: Coaches, dtype: object","1    41
Name: W, dtype: int64-1    31
Name: L, dtype: int64","New York, New York",43,2
